code,city,city_restaurants_url,restaurant_name,restaurant_url
,,,Kushking House,https://glovoapp/es/klc/store/kushking-house-klc/
,,,Sevi Kebab,https://glovoapp/es/klc/store/sevi-kebab-klc/
,,,Nepalskie Specjały,https://glovoapp/es/klc/store/nepalskie-specjaly-klc/
,,,Biesiadowo,https://glovoapp/es/klc/store/biesiadowo-klc/
,,,Domino's Pizza,https://glovoapp/es/klc/store/dominos-pizza-klc/
,,,ZapieCKanki,https://glovoapp/es/klc/store/zapieckanki-klc/
,,,Bailando Pizza,https://glovoapp/es/klc/store/bailando-pizza-klc/
,,,Sushi Master,https://glovoapp/es/klc/store/sushi-master-klc/
,,,Piri Piri Pizza,https://glovoapp/es/klc/store/piri-piri-pizza-klc/
,,,Pub CKM,https://glovoapp/es/klc/store/pub-ckm-klc/
,,,Pizza Fast,https://glovoapp/es/klc/store/pizza-fast-klc/
,,,Garaż,https://glovoapp/es/klc/store/gara--klc/
,,,Express Oriental,https://glovoapp/es/klc/store/express-oriental-klc/
,,,John Burg,https://glovoapp/es/klc/store/john-burg-klc/
,,,Flaming ,https://glovoapp/es/klc/store/flaming-promenada-klc/
MOS,Móstoles - Alcorcón,https://glovoapp.com/es/MOS/category/RESTAURANT/,,
,,,KFC,https://glovoapp/es/mos/store/kfc-mostoles/
,,,Taco Bell,https://glovoapp/es/mos/store/taco-bell-som2/
,,,Papa John's,https://glovoapp/es/mos/store/papa-johns-mostoles/
,,,Arepish,https://glovoapp/es/mos/store/arepish-mos/
,,,Cachapish,https://glovoapp/es/mos/store/cachapish-som/
,,,¡Ándale Burrito!,https://glovoapp/es/mos/store/andale-burrito-som/
,,,Kebabish,https://glovoapp/es/mos/store/kebabish-mos/
,,,Bendito Burrito ,https://glovoapp/es/mos/store/bendito-burrito-mostoles/
,,,VIPS,https://glovoapp/es/mos/store/vips-mostoles/
,,,Le Coq,https://glovoapp/es/mos/store/le-coq-madrid-sur/
,,,Guakamola,https://glovoapp/es/mos/store/guakamola-som/
,,,Empanadish,https://glovoapp/es/mos/store/empanadish-som/
,,,Le Burgerie,https://glovoapp/es/mos/store/le-burgerie-som/
,,,French Crêpe,https://glovoapp/es/mos/store/french-crepe-som/
,,,Ok Corral,https://glovoapp/es/mos/store/ok-corral-mos/
,,,TGB ,https://glovoapp/es/mos/store/tgb-mostoles/
,,,Carl's Jr,https://glovoapp/es/mos/store/carls-jr-mostoles/
,,,Foster's Hollywood,https://glovoapp/es/mos/store/fosters-hollywood-mostoles/
,,,Healthy Poke,https://glovoapp/es/mos/store/healthy-poke-madrid-sur/
,,,Pizzería Carlos,https://glovoapp/es/mos/store/pizzeria-carlos-mostoles/
,,,Pizza Hut,https://glovoapp/es/mos/store/pizza-hut-mostoles/
,,,Precocinados Mary,https://glovoapp/es/mos/store/precocinados-mary-madrid-sur/
,,,Restaurante Chino Palacio Imperial,https://glovoapp/es/mos/store/palacio-imperial-som/
,,,Go! Sushing,https://glovoapp/es/mos/store/go-sushing-mostoles/
,,,Telepizza,https://glovoapp/es/mos/store/telepizza-mostoles/
,,,Kebabish Simón Hernández,https://glovoapp/es/mos/store/kebabish-simon-hernandez/
,,,100 Montaditos,https://glovoapp/es/mos/store/100-montaditos-mostoles-alcorcon/
,,,Restaurante Japón Toyama,https://glovoapp/es/mos/store/restaurante-japon-toyama-madrid-sur/
,,,Domino's Pizza,https://glovoapp/es/mos/store/dominos-pizza-mostoles-alcorcon/
,,,Marchando Cocina,https://glovoapp/es/mos/store/marchando-cocina-madrid-sur/
,,,Tony Roma's,https://glovoapp/es/mos/store/tonyromas-som/
,,,La Antigua Churrería,https://glovoapp/es/mos/store/la-antigua-churreria-mostoles/
,,,Ribs,https://glovoapp/es/mos/store/ribs-mostoles/
,,,Crudo Pokes & Salads,https://glovoapp/es/mos/store/crudo-pokes-salads-som/
,,,Healthy Sandwich,https://glovoapp/es/mos/store/healthy-sandwich-mos/
,,,Gastrobar donde Carlos,https://glovoapp/es/mos/store/gastrobar-donde-carlos-leganes-getafe/
,,,Pub Oscar,https://glovoapp/es/mos/store/pub-bar-oscar-madrid-sur/
,,,Mizi Sushi,https://glovoapp/es/mos/store/mizi-sushi-madrid-sur/
,,,Casa de Istambul,https://glovoapp/es/mos/store/casa-de-istambul-madrid-sur/
,,,Healthy Burrito,https://glovoapp/es/mos/store/healthy-burrito-madri-sur/
,,,Dirty Dogs,https://glovoapp/es/mos/store/dirty-dogs-mostoles-alcorcon/
,,,Mesón Casa Miguel,https://glovoapp/es/mos/store/meson-casa-miguel-mostoles-y-alcorcon/
,,,J. B Kebab Pizzería,https://glovoapp/es/mos/store/j-b-kebab-pizzeria-leganesygetafe/
,,,Pizz-a-Porter,https://glovoapp/es/mos/store/pizz-a-porter/
,,,El Real Sushi,https://glovoapp/es/mos/store/el-real-sushi-leganesygetafe/
,,,Meson Roman,https://glovoapp/es/mos/store/bar-restaurante-meson-roman-mostoles/
,,,Sushimore Móstoles,https://glovoapp/es/mos/store/sushimore-m-stoles-madrid-sur/
,,,Passaparola Pizzería,https://glovoapp/es/mos/store/passaparola-pizzeria-madrid-sur/
,,,Indian Spicy,https://glovoapp/es/mos/store/indian-spicy-leganes-getafe/
,,,Cojonudos,https://glovoapp/es/mos/store/cojonudos-mostoles-alcorcon/
,,,Kebab Republic,https://glovoapp/es/mos/store/kebab-republic-mostoles-alcorcon/
,,,Bokatines,https://glovoapp/es/mos/store/bokatines-madrid-sur/
,,,Tap Station El Edén 2.0,https://glovoapp/es/mos/store/tap-station-el-eden-20-madrid-sur/
,,,La Cúspide ,https://glovoapp/es/mos/store/la-c-spide-m-stoles-madrid-sur/
,,,Superbestia,https://glovoapp/es/mos/store/superbestia-mostoles/
