code,city,city_restaurants_url,restaurant_name,restaurant_url
SCQ,Santiago de Compostela,https://glovoapp.com/es/SCQ/category/RESTAURANT/,,
,,,Burger King,https://glovoapp/es/scq/store/burger-king-santiago-de-compostela/
,,,La Pepita Burger Bar,https://glovoapp/es/scq/store/la-pepita-burger-bar/
,,,KFC,https://glovoapp/es/scq/store/kfc-scq1/
,,,La Tagliatella,https://glovoapp/es/scq/store/la-tagliatella-scq1/
,,,UDON,https://glovoapp/es/scq/store/udon-scq1/
,,,Sicilia in Bocca,https://glovoapp/es/scq/store/sicilia-in-bocca-santiagodecompostela/
,,,Milongas,https://glovoapp/es/scq/store/milongas-santiago-de-compostela/
,,,Newroz Döner Kebap,https://glovoapp/es/scq/store/newroz-d-ner-kebap-santiago-de-compostela/
,,,Churrasquería O Encontro,https://glovoapp/es/scq/store/churrasqueria-o-encontro-santiago-de-compostela/
,,,El Cártel de Mawey,https://glovoapp/es/scq/store/el-cartel-de-mawey-santiago-de-compostela/
,,,Domino's Pizza,https://glovoapp/es/scq/store/dominos-pizza-santiago-de-compostela/
,,,Telepizza,https://glovoapp/es/scq/store/telepizza-santiago-de-compostela/
,,,Pizza Móvil,https://glovoapp/es/scq/store/pizza-movil-santiago-de-compostela/
,,,Pizza Rao (By Oasis),https://glovoapp/es/scq/store/oasis-pizzer-a/
,,,Restaurante Galeón Toural,https://glovoapp/es/scq/store/restaurante-gale-n-toural-santiago-de-compostela/
,,,OK Wok,https://glovoapp/es/scq/store/ok-wok-scq/
,,,Cre Cotte,https://glovoapp/es/scq/store/cre-cotte-scq/
,,,La Cavita,https://glovoapp/es/scq/store/la-cavita/
,,,Mister Burguer,https://glovoapp/es/scq/store/mister-burguer-santiago-de-compostela/
,,,Toyama,https://glovoapp/es/scq/store/toyama-santiago-de-compostela/
,,,SouSushi,https://glovoapp/es/scq/store/sousushi-santiago-de-compostela/
,,,La Burguería ,https://glovoapp/es/scq/store/la-burguer-a/
,,,Santoro Pizzería,https://glovoapp/es/scq/store/santoro-pizzer-a-santiago-de-compostela/
,,,Buffet Yizi,https://glovoapp/es/scq/store/buffet-yizi-santiago-de-compostela/
,,,Royal Doner Kebab,https://glovoapp/es/scq/store/royal-doner-kebap-santiago-de-compostela/
,,,Madina Döner Kebab,https://glovoapp/es/scq/store/madina-doner-kebab-santiago-de-compostela/
,,,La Isabelita,https://glovoapp/es/scq/store/la-isabelita-santiago-de-compostela/
,,,Le Coq Santiago Gastro Café,https://glovoapp/es/scq/store/le-coq-santiago-gastro-caf--scq/
,,,Ali Baba Turkish Kebab,https://glovoapp/es/scq/store/ali-baba-turkish-kebab-santiago-compostela/
,,,Pollo Campero,https://glovoapp/es/scq/store/pollo-campero-santiago-de-compostela/
,,,Icconnicca,https://glovoapp/es/scq/store/icconnicca-santiago-de-compostela/
,,,Hoy No Cozino ,https://glovoapp/es/scq/store/hoy-no-cozino-santiago-de-compostela/
,,,Restaurante Asiatico Yizi,https://glovoapp/es/scq/store/restaurante-asiatico-yizi-santiago-de-compostela/
,,,El Rincón de Bocalino,https://glovoapp/es/scq/store/el-rincon-de-bocalino-santiago-de-compostela/
,,,Tio Bigotes,https://glovoapp/es/scq/store/tio-bigotes-santiago-de-compostela/
,,,Papaya Hot Dog,https://glovoapp/es/scq/store/papaya-hot-dog-santiago-de-compostela/
,,,Santiago Kyoto,https://glovoapp/es/scq/store/santiago-kyoto/
,,,Comida India & Doner Kebab Ruta 66,https://glovoapp/es/scq/store/comida-india-and-doner-kebab-ruta-66-santiago/
,,,Ben & Jerry's y Magnum,https://glovoapp/es/scq/store/ben-and-jerrys-y-magnum-santiago-de-compostela/
,,,Galipapas,https://glovoapp/es/scq/store/galipapas-santiago-de-compostela/
,,,Pizzería Di Troppo,https://glovoapp/es/scq/store/pizzeria-di-troppo-santiago-de-compostela/
,,,Top Burguer & Salad,https://glovoapp/es/scq/store/top-burguer-salad-santiago-de-compostela/
,,,A Curtidoria,https://glovoapp/es/scq/store/a-curtidoria-santiago-de-compostela/
,,,A Vaca Hamburguesería,https://glovoapp/es/scq/store/a-vaca-hamburgueseria-santiago-de-compostela/
,,,Cafetería Bar Cuyagua,https://glovoapp/es/scq/store/cafeter-a-cuyagua-santiago-de-compostela/
,,,Croquetería Hnc,https://glovoapp/es/scq/store/croqueteria-hnc-santiagodecompostela/
,,,La Terraza de MarySamy,https://glovoapp/es/scq/store/la-terraza-de-marysamy-santiagodecompostela/
,,,Solleiros,https://glovoapp/es/scq/store/solleiros-santiago-de-compostela/
,,,Limoncelli Gelato Shop,https://glovoapp/es/scq/store/limoncelli-gelato-shop-santiago-de-compostela/
